"No.","Time","Source","Destination","Protocol","Length","Info"
"91","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"92","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"93","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"94","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"95","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"96","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"97","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"98","5.518463","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"99","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"100","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"101","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"102","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"103","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"104","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"105","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"106","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"107","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"108","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"109","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"110","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"111","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"112","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"113","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"114","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"115","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"116","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
